role_id,Goal Title,Goal Description,category_id,Impact Score,Goal Type,id
9,Eat a balanced and healthy diet.,Eat a balanced and healthy diet.,6,9,Short-Term,3623
9,Get regular medical check-ups.,Get regular medical check-ups.,6,9,Short-Term,3624
9,Practice daily mental health exercises.,Practice daily mental health exercises.,6,9,Long-Term,3625
9,Ensure proper sleep hygiene.,Ensure proper sleep hygiene.,6,9,Short-Term,3626
9,Attend a professional workshop or seminar.,Attend a professional workshop or seminar.,7,9,Short-Term,3627
9,Achieve a new certification relevant to your field.,Achieve a new certification relevant to your field.,7,7,Short-Term,3628
9,Set and work towards career advancement goals.,Set and work towards career advancement goals.,7,9,Short-Term,3629
9,Improve your networking skills by attending industry events.,Improve your networking skills by attending industry events.,7,9,Long-Term,3630
9,Develop a new skill or competency.,Develop a new skill or competency.,7,10,Short-Term,3631
9,Create and follow a personal budget.,Create and follow a personal budget.,8,10,Short-Term,3632
9,Start an emergency savings fund.,Start an emergency savings fund.,8,9,Short-Term,3633
9,Invest in long-term financial growth.,Invest in long-term financial growth.,8,7,Short-Term,3634
9,Pay off any outstanding debt.,Pay off any outstanding debt.,8,8,Short-Term,3635
9,Plan for future financial milestones like retirement.,Plan for future financial milestones like retirement.,8,10,Short-Term,3636
9,Volunteer for a local charity or cause.,Volunteer for a local charity or cause.,9,7,Short-Term,3637
9,Participate in a community clean-up event.,Participate in a community clean-up event.,9,7,Short-Term,3638
9,Donate to a cause you care about.,Donate to a cause you care about.,9,8,Long-Term,3639
9,Support a local business or initiative.,Support a local business or initiative.,9,9,Long-Term,3640
9,Get involved in local government or activism.,Get involved in local government or activism.,9,7,Long-Term,3641
9,Plan a leisure trip or vacation.,Plan a leisure trip or vacation.,10,9,Long-Term,3642
9,Engage in a new hobby or pastime.,Engage in a new hobby or pastime.,10,7,Short-Term,3643
9,Take time off to relax and unwind.,Take time off to relax and unwind.,10,9,Short-Term,3644
9,Explore local cultural or recreational activities.,Explore local cultural or recreational activities.,10,7,Short-Term,3645
9,Spend time outdoors or in nature.,Spend time outdoors or in nature.,10,8,Long-Term,3646
10,Plan a family weekend outing.,Plan a family weekend outing.,4,7,Long-Term,3647
10,Host a family dinner night every week.,Host a family dinner night every week.,4,8,Short-Term,3648
10,Create a family budget and stick to it.,Create a family budget and stick to it.,4,7,Long-Term,3649
10,Start a family book club.,Start a family book club.,4,7,Short-Term,3650
10,Volunteer together as a family.,Volunteer together as a family.,4,9,Long-Term,3651
10,Complete a personal development course.,Complete a personal development course.,5,9,Short-Term,3652
10,Read a new self-help book each month.,Read a new self-help book each month.,5,10,Short-Term,3653
10,Set and achieve a personal fitness goal.,Set and achieve a personal fitness goal.,5,7,Long-Term,3654
10,Learn a new language or skill.,Learn a new language or skill.,5,10,Long-Term,3655
10,Practice mindfulness or meditation daily.,Practice mindfulness or meditation daily.,5,8,Short-Term,3656
10,Exercise regularly and maintain a fitness routine.,Exercise regularly and maintain a fitness routine.,6,10,Long-Term,3657
10,Eat a balanced and healthy diet.,Eat a balanced and healthy diet.,6,10,Short-Term,3658
10,Get regular medical check-ups.,Get regular medical check-ups.,6,8,Long-Term,3659
10,Practice daily mental health exercises.,Practice daily mental health exercises.,6,9,Short-Term,3660
10,Ensure proper sleep hygiene.,Ensure proper sleep hygiene.,6,8,Long-Term,3661
10,Attend a professional workshop or seminar.,Attend a professional workshop or seminar.,7,9,Long-Term,3662
10,Achieve a new certification relevant to your field.,Achieve a new certification relevant to your field.,7,10,Long-Term,3663
10,Set and work towards career advancement goals.,Set and work towards career advancement goals.,7,7,Long-Term,3664
